Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Segment,Year,Month,Month_Name,Quarter,Profit_Margin_Pct
ORD008358,2025-01-01,C0037,Isla Clarke,P007,4K Monitor,Electronics,London,London,5,389.27,0.0,1946.35,1260.8,685.55,Debit Card,Small Business,2025,1,Jan,Q1,35.22233925039176
ORD008366,2025-01-01,C0291,Harry Evans,P006,Wireless Mouse,Electronics,London,London,4,47.92,0.0,191.68,97.36,94.32,Credit Card,Corporate,2025,1,Jan,Q1,49.20701168614357
ORD008379,2025-01-01,C0867,Liam Taylor,P005,Mechanical Keyboard,Electronics,East Midlands,Nottingham,2,116.17,0.05,220.72,132.44,88.28,Debit Card,Consumer,2025,1,Jan,Q1,39.99637549836898
ORD008831,2025-01-01,C0714,Ella Edwards,P022,Air Fryer,Home Appliances,London,London,2,129.45,0.05,245.95,139.6,106.35,Credit Card,Consumer,2025,1,Jan,Q1,43.24049603577963
ORD009120,2025-01-01,C0808,Sophia Edwards,P020,Sports Backpack,Sports,London,London,1,58.58,0.1,52.72,29.88,22.84,Credit Card,Consumer,2025,1,Jan,Q1,43.32321699544765
ORD009328,2025-01-01,C0096,Oliver Jones,P017,Yoga Mat,Sports,Wales,Swansea,3,39.24,0.0,117.72,53.67,64.05,PayPal,Small Business,2025,1,Jan,Q1,54.40876656472986
ORD009345,2025-01-01,C0718,Amelia Jones,P024,Electric Kettle,Home Appliances,South East,Reading,1,47.84,0.0,47.84,24.74,23.1,Credit Card,Consumer,2025,1,Jan,Q1,48.285953177257525
ORD009549,2025-01-01,C0351,Charlie Clarke,P009,Office Chair,Furniture,Wales,Cardiff,3,259.71,0.05,740.17,445.32,294.85,Debit Card,Corporate,2025,1,Jan,Q1,39.83544320899253
ORD010027,2025-01-01,C0721,Leo Hall,P004,Bluetooth Speaker,Electronics,North West,Preston,2,90.43,0.1,162.77,97.38,65.39,Credit Card,Consumer,2025,1,Jan,Q1,40.17325059900473
ORD010376,2025-01-01,C0373,Jack Thomas,P027,Backpack,Accessories,South West,Exeter,1,80.65,0.05,76.62,39.01,37.61,PayPal,Consumer,2025,1,Jan,Q1,49.08640041764552
ORD010799,2025-01-01,C0779,Jacob White,P030,Smart Watch,Accessories,North West,Manchester,2,218.12,0.15,370.8,263.54,107.26,Credit Card,Corporate,2025,1,Jan,Q1,28.926645091693636
ORD011090,2025-01-01,C0707,Chloe Clarke,P008,USB-C Hub,Electronics,South West,Bristol,2,57.46,0.1,103.43,58.86,44.57,Debit Card,Small Business,2025,1,Jan,Q1,43.09194624383641
ORD011865,2025-01-01,C0500,Noah Roberts,P008,USB-C Hub,Electronics,Wales,Swansea,3,59.67,0.0,179.01,85.68,93.33,Credit Card,Consumer,2025,1,Jan,Q1,52.13675213675214
ORD011999,2025-01-01,C0580,Sophie Wright,P026,Blender,Home Appliances,South West,Exeter,2,68.99,0.15,117.28,69.64,47.64,PayPal,Consumer,2025,1,Jan,Q1,40.620736698499314
ORD012004,2025-01-01,C0872,Leo Clarke,P011,Desk Lamp,Furniture,London,London,1,68.57,0.05,65.14,31.25,33.89,Debit Card,Consumer,2025,1,Jan,Q1,52.02640466687135
ORD012017,2025-01-01,C0305,Grace Roberts,P018,Dumbbell Set,Sports,South East,Southampton,2,79.26,0.0,158.52,89.5,69.02,PayPal,Small Business,2025,1,Jan,Q1,43.540247287408526
ORD012072,2025-01-01,C0213,Ella Hall,P009,Office Chair,Furniture,Yorkshire,Sheffield,2,245.33,0.0,490.66,287.84,202.82,Bank Transfer,Corporate,2025,1,Jan,Q1,41.33615945868829
ORD012290,2025-01-01,C0183,Charlie Davies,P012,Bookshelf,Furniture,South East,Reading,6,182.81,0.0,1096.86,642.96,453.9,Credit Card,Small Business,2025,1,Jan,Q1,41.381762485640834
ORD012592,2025-01-01,C0628,Olivia White,P006,Wireless Mouse,Electronics,East of England,Ipswich,1,47.75,0.0,47.75,23.47,24.28,Debit Card,Consumer,2025,1,Jan,Q1,50.84816753926702
ORD013995,2025-01-01,C0598,Harry Roberts,P023,Robot Vacuum,Home Appliances,London,London,1,356.92,0.15,303.38,218.84,84.54,Debit Card,Consumer,2025,1,Jan,Q1,27.86604258685477
ORD014045,2025-01-01,C0072,George Green,P016,Training Shoes,Sports,South East,Reading,3,100.52,0.15,256.33,158.4,97.93,PayPal,Small Business,2025,1,Jan,Q1,38.20465805797215
ORD014683,2025-01-01,C0999,Lucas Clarke,P004,Bluetooth Speaker,Electronics,East of England,Ipswich,1,87.23,0.0,87.23,47.97,39.26,Credit Card,Consumer,2025,1,Jan,Q1,45.00745156482861
ORD014751,2025-01-01,C0880,Leo Roberts,P007,4K Monitor,Electronics,Wales,Cardiff,1,408.27,0.0,408.27,249.74,158.53,Credit Card,Consumer,2025,1,Jan,Q1,38.829696034486986
ORD014943,2025-01-01,C0624,Lily Hall,P015,Running Shoes,Sports,North West,Preston,1,111.75,0.1,100.58,67.95,32.63,Credit Card,Consumer,2025,1,Jan,Q1,32.44183734340824
ORD015722,2025-01-01,C0664,Mia Thomas,P005,Mechanical Keyboard,Electronics,North West,Liverpool,2,117.17,0.0,234.34,128.38,105.96,Credit Card,Small Business,2025,1,Jan,Q1,45.21635230861142
ORD015871,2025-01-01,C0781,Amelia Edwards,P026,Blender,Home Appliances,East Midlands,Nottingham,1,68.57,0.0,68.57,35.92,32.65,Credit Card,Corporate,2025,1,Jan,Q1,47.61557532448593
ORD016055,2025-01-01,C0803,Evie Roberts,P019,Fitness Tracker,Sports,Scotland,Edinburgh,3,128.56,0.05,366.4,207.12,159.28,Credit Card,Corporate,2025,1,Jan,Q1,43.47161572052402
ORD016488,2025-01-01,C0517,Charlie Walker,P005,Mechanical Keyboard,Electronics,Wales,Newport,2,123.61,0.1,222.5,131.04,91.46,Credit Card,Small Business,2025,1,Jan,Q1,41.105617977528084
ORD016879,2025-01-01,C0962,Muhammad Roberts,P004,Bluetooth Speaker,Electronics,South West,Bristol,2,86.41,0.0,172.82,96.06,76.76,Credit Card,Consumer,2025,1,Jan,Q1,44.41615553755353
ORD016933,2025-01-01,C0593,Lily Edwards,P020,Sports Backpack,Sports,Wales,Swansea,1,64.34,0.0,64.34,30.25,34.09,Credit Card,Consumer,2025,1,Jan,Q1,52.9841467205471
ORD017244,2025-01-01,C0439,Harry Smith,P024,Electric Kettle,Home Appliances,West Midlands,Wolverhampton,2,49.79,0.0,99.58,50.06,49.52,Bank Transfer,Small Business,2025,1,Jan,Q1,49.72886121711188
ORD017268,2025-01-01,C0432,Oliver Walker,P004,Bluetooth Speaker,Electronics,Yorkshire,Leeds,3,89.78,0.0,269.34,144.96,124.38,Credit Card,Corporate,2025,1,Jan,Q1,46.179550011138346
ORD017506,2025-01-01,C0425,Noah Hughes,P025,Toaster,Home Appliances,London,London,1,39.44,0.05,37.47,20.13,17.34,PayPal,Small Business,2025,1,Jan,Q1,46.27702161729383
ORD018006,2025-01-01,C0663,Lucas Davies,P001,Laptop Pro 14,Electronics,London,London,1,985.23,0.1,886.71,723.65,163.06,Credit Card,Small Business,2025,1,Jan,Q1,18.389326837410202
ORD018196,2025-01-01,C0573,Freya Edwards,P004,Bluetooth Speaker,Electronics,Yorkshire,Sheffield,3,88.37,0.2,212.09,142.38,69.71,Debit Card,Corporate,2025,1,Jan,Q1,32.868122023669194
ORD018654,2025-01-01,C0221,George Edwards,P008,USB-C Hub,Electronics,North West,Preston,1,60.32,0.0,60.32,29.31,31.01,Credit Card,Consumer,2025,1,Jan,Q1,51.40915119363395
ORD018665,2025-01-01,C0217,Muhammad Thompson,P007,4K Monitor,Electronics,South West,Bristol,1,391.55,0.05,371.97,253.09,118.88,Credit Card,Consumer,2025,1,Jan,Q1,31.959566631717607
ORD019997,2025-01-01,C0548,Liam Walker,P023,Robot Vacuum,Home Appliances,East of England,Cambridge,2,355.33,0.0,710.66,435.56,275.1,PayPal,Consumer,2025,1,Jan,Q1,38.710494469929365
ORD000268,2025-01-02,C0572,Charlie Roberts,P005,Mechanical Keyboard,Electronics,Northern Ireland,Derry,1,122.54,0.1,110.29,64.85,45.44,Credit Card,Consumer,2025,1,Jan,Q1,41.20047148426874
ORD000597,2025-01-02,C0501,Leo Wilson,P002,Laptop Air 13,Electronics,South East,Oxford,10,830.32,0.0,8303.2,5632.3,2670.9,Credit Card,Corporate,2025,1,Jan,Q1,32.167116292513725
ORD000790,2025-01-02,C0017,Thomas Lewis,P004,Bluetooth Speaker,Electronics,London,London,1,86.9,0.05,82.56,46.83,35.73,Debit Card,Consumer,2025,1,Jan,Q1,43.27761627906976
ORD000858,2025-01-02,C0245,Chloe Hall,P025,Toaster,Home Appliances,London,London,1,38.79,0.1,34.91,19.91,15.0,Credit Card,Consumer,2025,1,Jan,Q1,42.967631051274715
ORD001095,2025-01-02,C0015,Mason Hughes,P028,Leather Wallet,Accessories,London,London,6,58.45,0.0,350.7,152.04,198.66,Debit Card,Small Business,2025,1,Jan,Q1,56.64670658682635
ORD001689,2025-01-02,C0018,Olivia Clarke,P018,Dumbbell Set,Sports,North West,Liverpool,4,77.08,0.05,292.9,172.0,120.9,Debit Card,Small Business,2025,1,Jan,Q1,41.276886309320595
ORD002053,2025-01-02,C0885,Emily Evans,P006,Wireless Mouse,Electronics,London,London,4,49.26,0.0,197.04,95.28,101.76,Credit Card,Small Business,2025,1,Jan,Q1,51.644336175395864
ORD002196,2025-01-02,C0450,Harry Edwards,P030,Smart Watch,Accessories,South East,Southampton,1,231.11,0.1,208.0,134.28,73.72,Credit Card,Consumer,2025,1,Jan,Q1,35.442307692307686
ORD002774,2025-01-02,C0013,Harry Wright,P015,Running Shoes,Sports,West Midlands,Wolverhampton,1,114.26,0.15,97.12,65.37,31.75,Credit Card,Consumer,2025,1,Jan,Q1,32.69151565074135
ORD002956,2025-01-02,C0679,Jacob Walker,P023,Robot Vacuum,Home Appliances,West Midlands,Coventry,2,354.32,0.05,673.21,446.78,226.43,Credit Card,Consumer,2025,1,Jan,Q1,33.63437857429331
ORD003719,2025-01-02,C0695,Freya Thompson,P030,Smart Watch,Accessories,East Midlands,Leicester,1,231.1,0.05,219.54,136.84,82.7,Debit Card,Consumer,2025,1,Jan,Q1,37.66967295253713
ORD004238,2025-01-02,C0405,Charlie Thompson,P006,Wireless Mouse,Electronics,South East,Oxford,2,48.0,0.0,96.0,48.26,47.74,Credit Card,Consumer,2025,1,Jan,Q1,49.72916666666667
ORD004363,2025-01-02,C0571,Freya Hughes,P025,Toaster,Home Appliances,Wales,Swansea,2,39.91,0.15,67.85,40.96,26.89,PayPal,Small Business,2025,1,Jan,Q1,39.63154016212233
ORD005151,2025-01-02,C0891,Lily Thomas,P016,Training Shoes,Sports,East Midlands,Leicester,1,101.02,0.0,101.02,54.02,47.0,Debit Card,Consumer,2025,1,Jan,Q1,46.525440506830336
ORD005555,2025-01-02,C0828,Isabella Jones,P025,Toaster,Home Appliances,West Midlands,Birmingham,2,39.82,0.1,71.68,40.14,31.54,Debit Card,Corporate,2025,1,Jan,Q1,44.00111607142856
ORD005830,2025-01-02,C0179,Evie Clarke,P029,Travel Bag,Accessories,East Midlands,Leicester,3,107.8,0.0,323.4,157.65,165.75,Credit Card,Consumer,2025,1,Jan,Q1,51.25231910946197
ORD007027,2025-01-02,C0081,Harry Thomas,P030,Smart Watch,Accessories,London,London,1,212.09,0.0,212.09,135.24,76.85,Credit Card,Small Business,2025,1,Jan,Q1,36.234617379414395
ORD007256,2025-01-02,C0063,Chloe Hall,P023,Robot Vacuum,Home Appliances,London,London,4,342.63,0.2,1096.42,892.68,203.74,Debit Card,Corporate,2025,1,Jan,Q1,18.58229510589008
ORD008225,2025-01-02,C0134,Noah Thomas,P030,Smart Watch,Accessories,London,London,5,221.77,0.15,942.52,657.3,285.22,Credit Card,Small Business,2025,1,Jan,Q1,30.261426813224123
ORD008277,2025-01-02,C0388,Lily Thompson,P016,Training Shoes,Sports,Scotland,Glasgow,1,102.02,0.0,102.02,51.37,50.65,Credit Card,Consumer,2025,1,Jan,Q1,49.64712801411488
ORD008474,2025-01-02,C0688,Chloe Clarke,P008,USB-C Hub,Electronics,East Midlands,Nottingham,2,59.02,0.0,118.04,58.02,60.02,Credit Card,Consumer,2025,1,Jan,Q1,50.847170450694676
ORD009663,2025-01-02,C0115,Ella Green,P030,Smart Watch,Accessories,North West,Liverpool,2,229.9,0.0,459.8,274.64,185.16,PayPal,Small Business,2025,1,Jan,Q1,40.26968247063941
ORD010130,2025-01-02,C0446,Ella Jones,P028,Leather Wallet,Accessories,East Midlands,Derby,1,58.41,0.1,52.57,25.11,27.46,PayPal,Consumer,2025,1,Jan,Q1,52.23511508464904
ORD010287,2025-01-02,C0922,George Edwards,P012,Bookshelf,Furniture,South West,Bristol,6,175.52,0.1,947.81,639.96,307.85,Credit Card,Small Business,2025,1,Jan,Q1,32.48013842436775
ORD010422,2025-01-02,C0245,Chloe Hall,P001,Laptop Pro 14,Electronics,North East,Newcastle,1,1058.95,0.05,1006.0,717.16,288.84,Credit Card,Consumer,2025,1,Jan,Q1,28.711729622266397
ORD010546,2025-01-02,C0891,Lily Thomas,P016,Training Shoes,Sports,North West,Liverpool,2,99.02,0.0,198.04,106.6,91.44,Debit Card,Consumer,2025,1,Jan,Q1,46.172490405978586
ORD010668,2025-01-02,C0399,Jacob Evans,P001,Laptop Pro 14,Electronics,London,London,5,1004.96,0.0,5024.8,3557.1,1467.7,Debit Card,Small Business,2025,1,Jan,Q1,29.209122751154275
ORD010889,2025-01-02,C0230,Ella Brown,P018,Dumbbell Set,Sports,South East,Brighton,1,77.97,0.15,66.27,42.67,23.6,Credit Card,Consumer,2025,1,Jan,Q1,35.61189074996228
ORD011216,2025-01-02,C0854,Mia Thomas,P030,Smart Watch,Accessories,Yorkshire,Sheffield,10,245.91,0.1,2213.19,1371.4,841.79,Debit Card,Corporate,2025,1,Jan,Q1,38.035143842146404
ORD011244,2025-01-02,C0633,George White,P029,Travel Bag,Accessories,London,London,2,112.27,0.05,213.31,103.2,110.11,Debit Card,Consumer,2025,1,Jan,Q1,51.619708405606865
ORD011615,2025-01-02,C0666,Isabella Smith,P004,Bluetooth Speaker,Electronics,Northern Ireland,Derry,1,91.22,0.0,91.22,49.23,41.99,PayPal,Consumer,2025,1,Jan,Q1,46.03157202367902
ORD011761,2025-01-02,C0986,Freya Thompson,P007,4K Monitor,Electronics,East of England,Norwich,2,390.42,0.0,780.84,521.58,259.26,Debit Card,Small Business,2025,1,Jan,Q1,33.20270477946826
ORD012125,2025-01-02,C0963,Jack Taylor,P007,4K Monitor,Electronics,South East,Reading,2,414.44,0.1,745.99,501.82,244.17,Debit Card,Consumer,2025,1,Jan,Q1,32.73100175605571
ORD012248,2025-01-02,C0888,Sophia Clarke,P007,4K Monitor,Electronics,South West,Exeter,1,410.31,0.0,410.31,261.45,148.86,Credit Card,Consumer,2025,1,Jan,Q1,36.2798859398991
ORD012423,2025-01-02,C0676,Jacob Wilson,P021,Coffee Machine,Home Appliances,South West,Exeter,2,206.2,0.15,350.54,231.9,118.64,Debit Card,Consumer,2025,1,Jan,Q1,33.84492497289895
ORD012600,2025-01-02,C0023,Lily Wright,P030,Smart Watch,Accessories,North West,Manchester,1,230.54,0.0,230.54,132.63,97.91,Debit Card,Consumer,2025,1,Jan,Q1,42.46985338769845
ORD014241,2025-01-02,C0378,Liam Johnson,P018,Dumbbell Set,Sports,Yorkshire,Leeds,2,81.37,0.05,154.6,84.24,70.36,Bank Transfer,Consumer,2025,1,Jan,Q1,45.510996119016816
ORD015755,2025-01-02,C0883,Ava Brown,P001,Laptop Pro 14,Electronics,South East,Brighton,1,965.5,0.05,917.22,711.5,205.72,Credit Card,Small Business,2025,1,Jan,Q1,22.428643073635552
ORD015897,2025-01-02,C0823,Amelia Johnson,P030,Smart Watch,Accessories,North West,Manchester,5,228.42,0.0,1142.1,669.75,472.35,Credit Card,Small Business,2025,1,Jan,Q1,41.35802469135803
ORD016081,2025-01-02,C0085,Sophie Hall,P018,Dumbbell Set,Sports,Wales,Cardiff,2,81.59,0.0,163.18,88.42,74.76,Credit Card,Consumer,2025,1,Jan,Q1,45.81443804387793
ORD016294,2025-01-02,C0307,Muhammad Green,P014,Office Desk,Furniture,Yorkshire,York,1,321.0,0.0,321.0,201.42,119.58,Credit Card,Small Business,2025,1,Jan,Q1,37.25233644859813
ORD016594,2025-01-02,C0599,Harry Jones,P002,Laptop Air 13,Electronics,London,London,3,802.38,0.05,2286.78,1659.93,626.85,Debit Card,Consumer,2025,1,Jan,Q1,27.41190669850182
ORD016691,2025-01-02,C0519,Mia Green,P008,USB-C Hub,Electronics,Wales,Newport,2,59.67,0.0,119.34,58.28,61.06,Debit Card,Consumer,2025,1,Jan,Q1,51.16473940003352
ORD017427,2025-01-02,C0875,Chloe Smith,P021,Coffee Machine,Home Appliances,South East,Brighton,3,195.8,0.0,587.4,341.19,246.21,Debit Card,Consumer,2025,1,Jan,Q1,41.91521961184883
ORD017455,2025-01-02,C0882,Olivia Green,P030,Smart Watch,Accessories,West Midlands,Coventry,1,216.94,0.15,184.4,133.28,51.12,Debit Card,Consumer,2025,1,Jan,Q1,27.72234273318872
ORD017874,2025-01-02,C0715,James Brown,P005,Mechanical Keyboard,Electronics,South East,Southampton,1,121.42,0.0,121.42,65.92,55.5,Credit Card,Consumer,2025,1,Jan,Q1,45.70910887827376
ORD019232,2025-01-02,C0184,Lucas Green,P019,Fitness Tracker,Sports,North East,Sunderland,2,128.74,0.0,257.48,142.42,115.06,Credit Card,Small Business,2025,1,Jan,Q1,44.68696597794003
ORD019404,2025-01-02,C0372,Thomas Wright,P016,Training Shoes,Sports,South East,Brighton,4,101.27,0.05,384.83,209.48,175.35,Credit Card,Small Business,2025,1,Jan,Q1,45.56557440947951
ORD000381,2025-01-03,C0956,Sophia Taylor,P025,Toaster,Home Appliances,Scotland,Edinburgh,1,39.66,0.05,37.68,19.29,18.39,Debit Card,Consumer,2025,1,Jan,Q1,48.80573248407644
ORD000898,2025-01-03,C0923,Liam Walker,P030,Smart Watch,Accessories,North West,Manchester,3,224.37,0.1,605.8,411.0,194.8,Debit Card,Small Business,2025,1,Jan,Q1,32.15582700561242
ORD001000,2025-01-03,C0751,Emily Davies,P019,Fitness Tracker,Sports,Northern Ireland,Derry,1,128.48,0.0,128.48,72.15,56.33,Bank Transfer,Consumer,2025,1,Jan,Q1,43.843399750934
ORD001311,2025-01-03,C0217,Muhammad Thompson,P019,Fitness Tracker,Sports,South East,Southampton,1,122.4,0.0,122.4,72.47,49.93,Credit Card,Consumer,2025,1,Jan,Q1,40.79248366013072
ORD002781,2025-01-03,C0339,Jack Thompson,P005,Mechanical Keyboard,Electronics,North West,Liverpool,1,118.47,0.0,118.47,64.19,54.28,PayPal,Consumer,2025,1,Jan,Q1,45.81750654174053
ORD002878,2025-01-03,C0621,Noah Jones,P010,Standing Desk,Furniture,North West,Preston,2,519.61,0.05,987.26,617.7,369.56,PayPal,Consumer,2025,1,Jan,Q1,37.432895083362034
ORD003459,2025-01-03,C0967,Noah Hughes,P018,Dumbbell Set,Sports,South West,Plymouth,1,78.36,0.0,78.36,42.43,35.93,PayPal,Consumer,2025,1,Jan,Q1,45.85247575293517
ORD003867,2025-01-03,C0491,Oliver Wilson,P026,Blender,Home Appliances,London,London,1,66.55,0.1,59.9,34.61,25.29,Debit Card,Consumer,2025,1,Jan,Q1,42.220367278798
ORD004518,2025-01-03,C0959,Leo Taylor,P016,Training Shoes,Sports,London,London,1,98.53,0.05,93.6,52.5,41.1,Debit Card,Consumer,2025,1,Jan,Q1,43.910256410256416
ORD005017,2025-01-03,C0584,Jack White,P014,Office Desk,Furniture,London,London,5,337.01,0.05,1600.8,957.05,643.75,PayPal,Corporate,2025,1,Jan,Q1,40.21426786606697
ORD006239,2025-01-03,C0304,Thomas Lewis,P007,4K Monitor,Electronics,South West,Plymouth,1,392.32,0.0,392.32,254.05,138.27,Debit Card,Consumer,2025,1,Jan,Q1,35.244188417618275
ORD006521,2025-01-03,C0030,Oliver Walker,P027,Backpack,Accessories,London,London,2,78.39,0.05,148.94,76.54,72.4,Debit Card,Consumer,2025,1,Jan,Q1,48.61017859540755
ORD006842,2025-01-03,C0019,George Jones,P030,Smart Watch,Accessories,South West,Bristol,1,225.67,0.05,214.39,134.42,79.97,Credit Card,Consumer,2025,1,Jan,Q1,37.301180092355054
ORD007426,2025-01-03,C0730,Jack Walker,P021,Coffee Machine,Home Appliances,Scotland,Aberdeen,1,193.04,0.05,183.39,117.68,65.71,Debit Card,Small Business,2025,1,Jan,Q1,35.83074322482142
ORD007502,2025-01-03,C0633,George White,P019,Fitness Tracker,Sports,East of England,Norwich,4,124.85,0.0,499.4,286.08,213.32,Debit Card,Consumer,2025,1,Jan,Q1,42.715258309971965
ORD008161,2025-01-03,C0063,Chloe Hall,P005,Mechanical Keyboard,Electronics,South East,Oxford,4,120.91,0.05,459.46,263.84,195.62,PayPal,Corporate,2025,1,Jan,Q1,42.57606755756758
ORD008433,2025-01-03,C0232,James Roberts,P021,Coffee Machine,Home Appliances,East of England,Ipswich,1,203.2,0.05,193.04,112.54,80.5,PayPal,Consumer,2025,1,Jan,Q1,41.70120182345628
ORD008825,2025-01-03,C0510,Lucas White,P019,Fitness Tracker,Sports,London,London,1,131.63,0.1,118.47,72.77,45.7,Debit Card,Consumer,2025,1,Jan,Q1,38.57516670887144
ORD009227,2025-01-03,C0378,Liam Johnson,P020,Sports Backpack,Sports,London,London,1,62.61,0.0,62.61,31.1,31.51,Debit Card,Consumer,2025,1,Jan,Q1,50.327423734227764
ORD009405,2025-01-03,C0911,Chloe Davies,P029,Travel Bag,Accessories,Scotland,Edinburgh,1,108.04,0.0,108.04,52.61,55.43,Debit Card,Small Business,2025,1,Jan,Q1,51.30507219548315
ORD009808,2025-01-03,C0162,Thomas Green,P016,Training Shoes,Sports,Yorkshire,York,2,100.58,0.1,181.04,104.98,76.06,Credit Card,Small Business,2025,1,Jan,Q1,42.01281484754751
ORD009876,2025-01-03,C0241,Isla Edwards,P011,Desk Lamp,Furniture,London,London,2,68.05,0.0,136.1,64.62,71.48,PayPal,Consumer,2025,1,Jan,Q1,52.5202057310801
ORD010297,2025-01-03,C0656,Noah Lewis,P026,Blender,Home Appliances,London,London,5,68.97,0.0,344.85,172.25,172.6,PayPal,Small Business,2025,1,Jan,Q1,50.0507467014644
ORD010888,2025-01-03,C0861,Sophia Edwards,P022,Air Fryer,Home Appliances,East Midlands,Leicester,3,133.34,0.05,380.02,211.38,168.64,PayPal,Consumer,2025,1,Jan,Q1,44.37661175727593
