Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Customer_Segment
ORD000063,2025-06-10,C0128,Harry Taylor,P029,Travel Bag,Accessories,West Midlands,Coventry,2,109.55,0.05,208.14,105.32,102.82,Credit Card,Consumer
ORD000064,2025-06-08,C0652,Charlie Brown,P030,Smart Watch,Accessories,North West,Manchester,2,232.17,0.0,464.34,279.42,184.92,Credit Card,Consumer
ORD000065,2025-09-13,C0123,Muhammad Jones,P021,Coffee Machine,Home Appliances,East Midlands,Leicester,1,199.54,0.1,179.59,117.26,62.33,Debit Card,Consumer
ORD000066,2025-11-14,C0432,Oliver Walker,P010,Standing Desk,Furniture,East of England,Cambridge,4,504.48,0.1,1816.13,1249.76,566.37,Credit Card,Corporate
ORD000067,2025-11-02,C0545,Jacob Wright,P027,Backpack,Accessories,Northern Ireland,Belfast,2,78.07,0.0,156.14,76.52,79.62,Credit Card,Consumer
ORD000068,2025-02-18,C0666,Isabella Smith,P020,Sports Backpack,Sports,North West,Manchester,2,60.12,0.0,120.24,62.22,58.02,Credit Card,Consumer
ORD000069,2025-01-14,C0246,Ava White,P022,Air Fryer,Home Appliances,London,London,4,131.65,0.0,526.6,278.36,248.24,Credit Card,Small Business
ORD000070,2025-09-20,C0910,Lily White,P001,Laptop Pro 14,Electronics,London,London,2,949.22,0.0,1898.44,1412.0,486.44,Bank Transfer,Consumer
ORD000071,2025-04-15,C0288,Ava Roberts,P026,Blender,Home Appliances,London,London,2,68.51,0.0,137.02,70.2,66.82,Debit Card,Consumer
ORD000072,2025-10-04,C0820,Mia White,P007,4K Monitor,Electronics,London,London,1,412.5,0.05,391.88,255.35,136.53,Debit Card,Consumer
ORD000073,2025-11-22,C0449,Isabella Thompson,P002,Laptop Air 13,Electronics,North West,Preston,1,791.85,0.15,673.07,566.75,106.32,PayPal,Consumer
ORD000074,2025-12-26,C0750,Ethan Edwards,P018,Dumbbell Set,Sports,London,London,1,79.94,0.05,75.94,42.92,33.02,Debit Card,Consumer
ORD000075,2025-10-08,C0412,Evie Hall,P002,Laptop Air 13,Electronics,London,London,2,777.63,0.1,1399.73,1109.0,290.73,PayPal,Consumer
ORD000076,2025-11-02,C0255,Muhammad Hall,P006,Wireless Mouse,Electronics,East Midlands,Nottingham,2,50.62,0.0,101.24,47.76,53.48,Debit Card,Small Business
ORD000077,2025-08-22,C0538,Freya Clarke,P029,Travel Bag,Accessories,North West,Preston,1,110.04,0.1,99.04,51.9,47.14,Credit Card,Consumer
ORD000078,2025-06-18,C0914,Lily Wright,P004,Bluetooth Speaker,Electronics,London,London,4,89.36,0.0,357.44,195.08,162.36,PayPal,Consumer
ORD000079,2025-06-27,C0786,Evie Wilson,P012,Bookshelf,Furniture,North West,Preston,1,175.27,0.05,166.51,102.5,64.01,Credit Card,Consumer
ORD000080,2025-08-26,C0602,James Green,P010,Standing Desk,Furniture,London,London,4,523.17,0.1,1883.41,1260.56,622.85,Credit Card,Consumer
ORD000081,2025-08-20,C0351,Charlie Clarke,P018,Dumbbell Set,Sports,North West,Manchester,1,79.37,0.0,79.37,43.4,35.97,PayPal,Corporate
ORD000082,2025-11-03,C0343,Freya Green,P018,Dumbbell Set,Sports,East of England,Norwich,1,84.13,0.1,75.72,43.14,32.58,Debit Card,Consumer
ORD000083,2025-10-18,C0559,James Wright,P020,Sports Backpack,Sports,Scotland,Glasgow,1,58.75,0.0,58.75,30.64,28.11,Debit Card,Consumer
ORD000084,2025-05-15,C0520,Leo Wright,P007,4K Monitor,Electronics,West Midlands,Wolverhampton,2,405.64,0.0,811.28,518.3,292.98,Credit Card,Consumer
ORD000085,2025-01-26,C0078,Ava Jones,P003,Wireless Headphones,Electronics,South West,Exeter,4,152.48,0.2,487.94,330.64,157.3,Credit Card,Consumer
ORD000086,2025-01-07,C0437,Sophie Wilson,P013,Filing Cabinet,Furniture,Yorkshire,Sheffield,1,142.11,0.05,135.0,81.12,53.88,PayPal,Consumer
ORD000087,2025-02-24,C0509,Grace White,P028,Leather Wallet,Accessories,Scotland,Aberdeen,3,59.64,0.0,178.92,74.37,104.55,Credit Card,Small Business
ORD000088,2025-10-01,C0145,Lily Thomas,P019,Fitness Tracker,Sports,South West,Bristol,1,128.72,0.0,128.72,72.85,55.87,Credit Card,Consumer
ORD000089,2025-08-02,C0467,Sophia Jones,P021,Coffee Machine,Home Appliances,London,London,2,207.1,0.0,414.2,226.66,187.54,Debit Card,Small Business
ORD000090,2025-11-18,C0802,Amelia Green,P014,Office Desk,Furniture,London,London,1,325.36,0.1,292.82,199.26,93.56,Debit Card,Consumer
ORD000091,2025-10-24,C0042,Amelia Lewis,P004,Bluetooth Speaker,Electronics,East of England,Cambridge,1,86.91,0.0,86.91,47.68,39.23,Debit Card,Consumer
ORD000092,2025-01-21,C0633,George White,P016,Training Shoes,Sports,South East,Reading,1,101.84,0.0,101.84,51.1,50.74,Debit Card,Consumer
ORD000093,2025-02-08,C0269,Mason Edwards,P016,Training Shoes,Sports,Yorkshire,Sheffield,2,98.56,0.0,197.12,105.6,91.52,PayPal,Consumer
ORD000094,2025-10-27,C0614,Liam Brown,P015,Running Shoes,Sports,South West,Plymouth,3,120.97,0.0,362.91,196.14,166.77,Credit Card,Small Business
ORD000095,2025-07-17,C0532,Olivia Green,P019,Fitness Tracker,Sports,Yorkshire,York,4,128.01,0.05,486.44,284.76,201.68,Debit Card,Consumer
ORD000096,2025-11-22,C0385,Sophie Edwards,P017,Yoga Mat,Sports,West Midlands,Wolverhampton,2,38.13,0.1,68.63,35.96,32.67,Debit Card,Corporate
ORD000097,2025-12-10,C0629,Mason Hughes,P012,Bookshelf,Furniture,London,London,1,182.31,0.15,154.96,104.75,50.21,PayPal,Small Business
ORD000098,2025-12-13,C0691,Noah Clarke,P017,Yoga Mat,Sports,South East,Brighton,1,38.93,0.05,36.98,18.07,18.91,Credit Card,Consumer
ORD000099,2025-10-06,C0526,Grace Clarke,P018,Dumbbell Set,Sports,Northern Ireland,Belfast,1,81.46,0.05,77.39,42.84,34.55,Credit Card,Consumer
ORD000100,2025-12-06,C0516,Amelia Roberts,P025,Toaster,Home Appliances,Scotland,Edinburgh,1,37.95,0.2,30.36,20.21,10.15,Credit Card,Consumer
ORD000101,2025-10-16,C0810,Ethan Lewis,P017,Yoga Mat,Sports,West Midlands,Wolverhampton,3,40.57,0.0,121.71,53.01,68.7,Credit Card,Small Business
ORD000102,2025-05-05,C0822,Freya Roberts,P013,Filing Cabinet,Furniture,North East,Sunderland,3,133.26,0.0,399.78,241.26,158.52,PayPal,Consumer
ORD000103,2025-10-31,C0964,Muhammad White,P011,Desk Lamp,Furniture,Northern Ireland,Derry,1,65.94,0.05,62.64,32.25,30.39,Credit Card,Consumer
ORD000104,2025-11-05,C0650,Grace Wilson,P021,Coffee Machine,Home Appliances,West Midlands,Birmingham,3,201.69,0.2,484.06,348.96,135.1,Bank Transfer,Small Business
ORD000105,2025-01-17,C0056,Lily Roberts,P003,Wireless Headphones,Electronics,London,London,4,149.88,0.1,539.57,332.72,206.85,Debit Card,Small Business
ORD000106,2025-10-30,C0009,Sophie Smith,P026,Blender,Home Appliances,North West,Liverpool,1,69.42,0.05,65.95,34.68,31.27,Credit Card,Consumer
ORD000107,2025-09-07,C0234,Lucas Evans,P020,Sports Backpack,Sports,London,London,1,58.09,0.1,52.28,31.22,21.06,Debit Card,Consumer
ORD000108,2025-06-17,C0700,Sophie Wright,P008,USB-C Hub,Electronics,North West,Manchester,2,55.44,0.05,105.34,59.4,45.94,Debit Card,Small Business
ORD000109,2025-11-23,C0903,James Evans,P010,Standing Desk,Furniture,East Midlands,Nottingham,3,495.43,0.1,1337.66,927.36,410.3,PayPal,Small Business
ORD000110,2025-03-25,C0680,Charlie Wright,P021,Coffee Machine,Home Appliances,South West,Bristol,1,202.48,0.05,192.36,118.54,73.82,Credit Card,Corporate
ORD000111,2025-05-08,C0776,Liam Jones,P017,Yoga Mat,Sports,London,London,2,37.31,0.05,70.89,36.08,34.81,Credit Card,Consumer
ORD000112,2025-12-10,C0220,Lily White,P011,Desk Lamp,Furniture,London,London,1,67.1,0.1,60.39,32.28,28.11,PayPal,Consumer
ORD000113,2025-01-08,C0302,Chloe Johnson,P011,Desk Lamp,Furniture,North West,Preston,1,68.44,0.0,68.44,31.19,37.25,Bank Transfer,Consumer
ORD000114,2025-10-23,C0504,Amelia Hall,P029,Travel Bag,Accessories,South East,Southampton,1,104.35,0.0,104.35,50.74,53.61,Bank Transfer,Consumer
ORD000115,2025-12-08,C0307,Muhammad Green,P018,Dumbbell Set,Sports,North East,Middlesbrough,1,79.54,0.0,79.54,42.54,37.0,Credit Card,Small Business
ORD000116,2025-04-16,C0300,Chloe Evans,P028,Leather Wallet,Accessories,London,London,3,59.57,0.0,178.71,75.48,103.23,Bank Transfer,Small Business
ORD000117,2025-11-05,C0586,Evie Wright,P013,Filing Cabinet,Furniture,East of England,Cambridge,2,143.35,0.05,272.36,162.72,109.64,Debit Card,Small Business
ORD000118,2025-11-11,C0672,George Wilson,P008,USB-C Hub,Electronics,North East,Sunderland,1,60.17,0.1,54.15,29.65,24.5,Credit Card,Small Business
ORD000119,2025-09-18,C0319,Emily White,P014,Office Desk,Furniture,West Midlands,Birmingham,1,336.83,0.0,336.83,188.41,148.42,Credit Card,Small Business
ORD000120,2025-02-17,C0294,James White,P001,Laptop Pro 14,Electronics,South East,Southampton,2,976.14,0.1,1757.05,1435.66,321.39,Credit Card,Consumer
ORD000121,2025-05-14,C0048,Mason Johnson,P009,Office Chair,Furniture,London,London,1,255.53,0.15,217.2,142.88,74.32,Credit Card,Consumer
ORD000122,2025-04-02,C0978,Chloe Clarke,P010,Standing Desk,Furniture,East of England,Ipswich,1,498.83,0.0,498.83,313.26,185.57,Debit Card,Consumer
ORD000123,2025-11-25,C0163,Isla Walker,P009,Office Chair,Furniture,West Midlands,Coventry,1,239.27,0.1,215.34,146.49,68.85,Bank Transfer,Consumer
ORD000124,2025-11-01,C0468,Sophia Hall,P014,Office Desk,Furniture,South East,Oxford,1,310.24,0.05,294.73,190.62,104.11,PayPal,Consumer
ORD000125,2025-09-29,C0334,Charlie Brown,P027,Backpack,Accessories,South West,Bristol,1,76.75,0.05,72.91,37.36,35.55,PayPal,Consumer
ORD000126,2025-10-09,C0192,Jacob Edwards,P002,Laptop Air 13,Electronics,London,London,1,804.56,0.1,724.1,561.33,162.77,Credit Card,Consumer
ORD000127,2025-03-26,C0817,Ethan Evans,P015,Running Shoes,Sports,London,London,4,121.98,0.0,487.92,264.64,223.28,Credit Card,Consumer
ORD000128,2025-08-27,C0688,Chloe Clarke,P026,Blender,Home Appliances,London,London,1,72.1,0.2,57.68,35.27,22.41,Credit Card,Consumer
ORD000129,2025-10-30,C0996,Emily White,P030,Smart Watch,Accessories,South East,Southampton,5,223.19,0.05,1060.15,695.75,364.4,Debit Card,Corporate
ORD000130,2025-12-28,C0080,Mason Walker,P011,Desk Lamp,Furniture,Yorkshire,Leeds,1,70.1,0.15,59.58,32.21,27.37,Credit Card,Consumer
ORD000131,2025-04-06,C0516,Amelia Roberts,P004,Bluetooth Speaker,Electronics,South East,Brighton,1,89.76,0.1,80.78,46.72,34.06,Credit Card,Consumer
ORD000132,2025-01-09,C0703,Harry Johnson,P021,Coffee Machine,Home Appliances,North West,Manchester,3,207.6,0.0,622.8,352.02,270.78,Debit Card,Consumer
ORD000133,2025-12-03,C0148,Muhammad Wright,P005,Mechanical Keyboard,Electronics,London,London,3,115.75,0.05,329.89,196.17,133.72,PayPal,Corporate
ORD000134,2025-07-26,C0122,Sophie Johnson,P008,USB-C Hub,Electronics,London,London,6,61.65,0.0,369.9,176.34,193.56,Debit Card,Small Business
ORD000135,2025-02-28,C0573,Freya Edwards,P020,Sports Backpack,Sports,Wales,Cardiff,1,57.4,0.1,51.66,30.93,20.73,PayPal,Corporate
ORD000136,2025-01-23,C0448,Liam Smith,P018,Dumbbell Set,Sports,South East,Brighton,1,75.47,0.0,75.47,42.92,32.55,Credit Card,Consumer
ORD000137,2025-08-29,C0157,Lucas White,P002,Laptop Air 13,Electronics,Wales,Newport,1,782.12,0.1,703.91,550.9,153.01,Debit Card,Consumer
ORD000138,2025-06-15,C0752,Sophia Walker,P019,Fitness Tracker,Sports,North West,Liverpool,2,128.57,0.0,257.14,141.32,115.82,Credit Card,Consumer
ORD000139,2025-06-24,C0925,Chloe Jones,P024,Electric Kettle,Home Appliances,London,London,1,49.31,0.0,49.31,24.81,24.5,Credit Card,Small Business
ORD000140,2025-02-12,C0773,Sophia Davies,P026,Blender,Home Appliances,East of England,Ipswich,2,69.47,0.0,138.94,68.8,70.14,Credit Card,Consumer
ORD000141,2025-03-21,C0682,Muhammad Evans,P027,Backpack,Accessories,Yorkshire,Sheffield,4,76.7,0.05,291.46,147.16,144.3,Credit Card,Small Business
ORD000142,2025-10-16,C0645,Ava Jones,P020,Sports Backpack,Sports,South West,Plymouth,1,60.79,0.0,60.79,29.76,31.03,PayPal,Small Business
ORD000143,2025-11-02,C0950,Emily Wright,P029,Travel Bag,Accessories,London,London,3,106.95,0.15,272.72,153.9,118.82,PayPal,Small Business
ORD000144,2025-02-15,C0004,Isla Jones,P002,Laptop Air 13,Electronics,North East,Sunderland,2,837.05,0.0,1674.1,1120.6,553.5,Debit Card,Consumer
ORD000145,2025-10-12,C0932,Lucas Thompson,P014,Office Desk,Furniture,East of England,Norwich,1,355.15,0.05,337.39,197.49,139.9,Credit Card,Small Business
ORD000146,2025-06-20,C0011,Jack Evans,P012,Bookshelf,Furniture,Scotland,Glasgow,1,183.07,0.0,183.07,105.05,78.02,Credit Card,Consumer
ORD000147,2025-06-14,C0769,Ethan Green,P021,Coffee Machine,Home Appliances,London,London,1,189.36,0.2,151.49,116.15,35.34,Debit Card,Consumer
ORD000148,2025-04-17,C0199,Amelia Wilson,P027,Backpack,Accessories,North East,Middlesbrough,5,77.63,0.2,310.52,192.35,118.17,Credit Card,Consumer
ORD000149,2025-03-24,C0479,Lily Lewis,P005,Mechanical Keyboard,Electronics,East of England,Ipswich,2,119.83,0.05,227.68,128.04,99.64,PayPal,Corporate
ORD000150,2025-12-21,C0245,Chloe Hall,P006,Wireless Mouse,Electronics,West Midlands,Wolverhampton,1,48.98,0.2,39.18,23.92,15.26,Credit Card,Consumer
ORD000151,2025-10-27,C0302,Chloe Johnson,P030,Smart Watch,Accessories,Wales,Swansea,1,222.64,0.1,200.38,132.63,67.75,PayPal,Consumer
ORD000152,2025-02-02,C0411,Charlie Edwards,P015,Running Shoes,Sports,South East,Oxford,1,111.56,0.0,111.56,63.34,48.22,Debit Card,Consumer
ORD000153,2025-09-06,C0403,Thomas Walker,P005,Mechanical Keyboard,Electronics,London,London,6,118.07,0.0,708.42,396.12,312.3,Debit Card,Corporate
ORD000154,2025-08-24,C0525,Leo Edwards,P013,Filing Cabinet,Furniture,South East,Oxford,1,140.35,0.0,140.35,82.13,58.22,Bank Transfer,Consumer
ORD000155,2025-10-30,C0044,Sophie Smith,P002,Laptop Air 13,Electronics,Scotland,Glasgow,3,794.5,0.0,2383.5,1647.81,735.69,Credit Card,Corporate
ORD000156,2025-04-26,C0178,Ella Taylor,P014,Office Desk,Furniture,London,London,2,333.57,0.0,667.14,386.36,280.78,Debit Card,Corporate
ORD000157,2025-10-08,C0135,Olivia Hall,P014,Office Desk,Furniture,Wales,Cardiff,1,333.35,0.05,316.68,198.99,117.69,PayPal,Small Business
ORD000158,2025-04-18,C0297,Lucas Hughes,P027,Backpack,Accessories,Scotland,Glasgow,3,77.87,0.15,198.57,113.73,84.84,PayPal,Small Business
ORD000159,2025-07-20,C0452,Emily Lewis,P012,Bookshelf,Furniture,West Midlands,Coventry,1,179.34,0.0,179.34,105.01,74.33,Debit Card,Small Business
ORD000160,2025-12-19,C0090,James Thompson,P004,Bluetooth Speaker,Electronics,Scotland,Edinburgh,2,90.31,0.15,153.53,94.34,59.19,PayPal,Consumer
ORD000161,2025-04-21,C0875,Chloe Smith,P027,Backpack,Accessories,London,London,1,80.75,0.15,68.64,38.28,30.36,Credit Card,Consumer
ORD000162,2025-07-11,C0971,Isla Lewis,P004,Bluetooth Speaker,Electronics,West Midlands,Birmingham,1,82.48,0.0,82.48,48.28,34.2,Bank Transfer,Consumer
ORD000163,2025-10-19,C0371,Oliver Walker,P028,Leather Wallet,Accessories,London,London,5,57.29,0.2,229.16,123.65,105.51,Debit Card,Corporate
ORD000164,2025-05-26,C0058,George Edwards,P025,Toaster,Home Appliances,East Midlands,Nottingham,4,39.4,0.05,149.72,81.96,67.76,PayPal,Corporate
ORD000165,2025-12-12,C0532,Olivia Green,P004,Bluetooth Speaker,Electronics,North West,Preston,2,85.96,0.0,171.92,95.64,76.28,Debit Card,Consumer
ORD000166,2025-01-29,C0398,Thomas Walker,P004,Bluetooth Speaker,Electronics,London,London,1,88.76,0.1,79.88,48.16,31.72,Credit Card,Consumer
ORD000167,2025-12-11,C0648,Ethan Hughes,P010,Standing Desk,Furniture,North West,Manchester,2,493.86,0.2,790.18,606.82,183.36,PayPal,Consumer
ORD000168,2025-07-14,C0614,Liam Brown,P008,USB-C Hub,Electronics,South West,Plymouth,4,60.08,0.1,216.29,116.64,99.65,Debit Card,Small Business
